bound ecx,[bx]|67620f
bound ecx,[si]|67620c
bound ecx,[di]|67620d
bound ecx,[bp]|67624e00
bound ecx,[0x0]|620d00000000
bound ecx,[ebx]|620b
bound ecx,[esi]|620e
bound ecx,[edi]|620f
bound ecx,[ebp]|624d00
bound ecx,[esp]|620c24
bound esi,[bx]|676237
bound esi,[si]|676234
bound esi,[di]|676235
bound esi,[bp]|67627600
bound esi,[0x0]|623500000000
bound esi,[ebx]|6233
bound esi,[esi]|6236
bound esi,[edi]|6237
bound esi,[ebp]|627500
bound esi,[esp]|623424
bound edi,[bx]|67623f
bound edi,[si]|67623c
bound edi,[di]|67623d
bound edi,[bp]|67627e00
bound edi,[0x0]|623d00000000
bound edi,[ebx]|623b
bound edi,[esi]|623e
bound edi,[edi]|623f
bound edi,[ebp]|627d00
bound edi,[esp]|623c24
bound ebp,[bx]|67622f
bound ebp,[si]|67622c
bound ebp,[di]|67622d
bound ebp,[bp]|67626e00
bound ebp,[0x0]|622d00000000
bound ebp,[ebx]|622b
bound ebp,[esi]|622e
bound ebp,[edi]|622f
bound ebp,[ebp]|626d00
bound ebp,[esp]|622c24
bound esp,[bx]|676227
bound esp,[si]|676224
bound esp,[di]|676225
bound esp,[bp]|67626600
bound esp,[0x0]|622500000000
bound esp,[ebx]|6223
bound esp,[esi]|6226
bound esp,[edi]|6227
bound esp,[ebp]|626500
bound esp,[esp]|622424
bsf ax,ax|660fbcc0
bsf ax,bx|660fbcc3
bsf ax,cx|660fbcc1
bsf ax,dx|660fbcc2
bsf ax,si|660fbcc6
bsf ax,di|660fbcc7
bsf ax,sp|660fbcc4
bsf ax,[bx]|66670fbc07
bsf ax,[si]|66670fbc04
bsf ax,[di]|66670fbc05
bsf ax,bp|660fbcc5
bsf ax,[bp]|66670fbc4600
bsf ax,[0x0]|660fbc0500000000
bsf ax,[ebx]|660fbc03
bsf ax,[esi]|660fbc06
bsf ax,[edi]|660fbc07
bsf ax,[ebp]|660fbc4500
bsf ax,[esp]|660fbc0424
bsf bx,ax|660fbcd8
bsf bx,bx|660fbcdb
bsf bx,cx|660fbcd9
bsf bx,dx|660fbcda
bsf bx,si|660fbcde
bsf bx,di|660fbcdf
bsf bx,sp|660fbcdc
bsf bx,[bx]|66670fbc1f
bsf bx,[si]|66670fbc1c
bsf bx,[di]|66670fbc1d
bsf bx,bp|660fbcdd
bsf bx,[bp]|66670fbc5e00
bsf bx,[0x0]|660fbc1d00000000
bsf bx,[ebx]|660fbc1b
bsf bx,[esi]|660fbc1e
bsf bx,[edi]|660fbc1f
bsf bx,[ebp]|660fbc5d00
bsf bx,[esp]|660fbc1c24
bsf cx,ax|660fbcc8
bsf cx,bx|660fbccb
bsf cx,cx|660fbcc9
bsf cx,dx|660fbcca
bsf cx,si|660fbcce
bsf cx,di|660fbccf
bsf cx,sp|660fbccc
bsf cx,[bx]|66670fbc0f
bsf cx,[si]|66670fbc0c
bsf cx,[di]|66670fbc0d
bsf cx,bp|660fbccd
bsf cx,[bp]|66670fbc4e00
